"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"11","동물병원","02_03_01_P","3450000","345000001020030001","20030314","","03","폐업","0002","폐업","20131125","","","","952-7975","48.26","","대구광역시 북구 동변동 686-3번지","대구광역시 북구 동변로 80 (동변동)","","수동물병원","20131125174158","I","2018-08-31 23:59:59.0","","344690.195496","270065.929361","동물병원","","000","",
"12","동물병원","02_03_01_P","3450000","345000001019810002","19810824","","03","폐업","0002","폐업","20060227","","","","","366.7","","대구광역시 북구 태전동 476-1번지","대구광역시 북구 칠곡중앙대로46길 12 (태전동)","","대성동물병원","20060227175529","I","2018-08-31 23:59:59.0","","339769.451964","269656.709071","동물병원","","000","",
"13","동물병원","02_03_01_P","3450000","345000001019810003","19810824","","03","폐업","0002","폐업","20000609","","","","","0","","대구광역시 북구 노원동3가 772-2   번지","","","천일동물병원","20030516114448","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"14","동물병원","02_03_01_P","3450000","345000001019810004","19810824","","03","폐업","0002","폐업","20081009","","","","357-2188","79.5","","대구광역시 북구 고성동2가 117-6번지","대구광역시 북구 원대로 34 (고성동2가)","","서부동물병원","20081009100212","I","2018-08-31 23:59:59.0","","342692.926444","265593.347784","동물병원","","000","",
"15","동물병원","02_03_01_P","3450000","345000001020030002","20030411","","03","폐업","0002","폐업","20180427","","","","956-0858","697.6","","대구광역시 북구 산격동 1291-20번지","대구광역시 북구 대학로 141 (산격동)","","다나동물병원","20191017175652","U","2019-10-19 02:40:00.0","","345618.776049","267449.356936","동물병원","","000","",
"16","동물병원","02_03_01_P","3450000","345000001020050001","20050304","","03","폐업","0002","폐업","20061128","","","","053-325-1121","80","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오동물병원","20061128132413","I","2018-08-31 23:59:59.0","","341518.687046","271889.685084","동물병원","","000","",
"17","동물병원","02_03_01_P","3450000","345000001020060001","20061204","","03","폐업","0002","폐업","20071107","","","","053-325-1121","114.33","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오동물병원","20071107100448","I","2018-08-31 23:59:59.0","","341518.687046","271889.685084","동물병원","","L00","",
"18","동물병원","02_03_01_P","3450000","345000001020070001","20071107","","03","폐업","0002","폐업","20100903","","","","325-1121","0","","대구광역시 북구 구암동 811-6번지","대구광역시 북구 구암로60길 19 (구암동)","","임프로바이오","20100903101923","I","2018-08-31 23:59:59.0","","341518.687046","271889.685084","동물병원","","000","",
"19","동물병원","02_03_01_P","5410000","541000001019730001","19730212","","03","폐업","0002","폐업","20191231","20191001","20191231","","","0","","경상남도 창녕군 대합면 십이리 438-3번지","경상남도 창녕군 대합면 십이리1길 10","50311","대합가축병원","20200616162253","U","2020-06-18 02:40:00.0","","333173.050726693","235779.086829789","동물병원","","000","",
"20","동물병원","02_03_01_P","5410000","541000001020040002","20041015","","03","폐업","0002","폐업","20051229","","","","","0","","경상남도 창녕군 창녕읍 술정리 171-1번지","경상남도 창녕군 창녕읍 화왕산1로 12","","자연동물병원","20080324170301","I","2018-08-31 23:59:59.0","","335661.359377868","227403.818054428","동물병원","","000","",
"21","동물병원","02_03_01_P","5410000","541000001019790001","19790608","","03","폐업","0002","폐업","20140102","","","","055-533-3525","0","","경상남도 창녕군 창녕읍 교리 992-10번지","경상남도 창녕군 창녕읍 우포2로 1215","","박수의과병원","20140116160454","I","2018-08-31 23:59:59.0","","334956.336165344","228114.82309318","동물병원","","000","",
"22","동물병원","02_03_01_P","5410000","541000001019790002","19791201","","03","폐업","0002","폐업","20150226","","","","055-533-3671","0","","경상남도 창녕군 대지면 구미리 203-3번지","경상남도 창녕군 대지면 구미2길 27","","명성동물병원","20150302095351","I","2018-08-31 23:59:59.0","","332903.498472708","226342.567791287","동물병원","","000","",
"23","동물병원","02_03_01_P","5410000","541000001019950001","19950429","","03","폐업","0002","폐업","20030814","","","","055-533-8220","0","","경상남도 창녕군 창녕읍 술정리 171-1번지","","","황영균동물병원","20150730102722","I","2018-08-31 23:59:59.0","","335661.359377868","227403.818054428","동물병원","","000","",
"24","동물병원","02_03_01_P","5410000","541000001019990001","19990225","","03","폐업","0002","폐업","20090102","","","","055-533-4949","0","","경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반","경상남도 창녕군 창녕읍 창녕대로 20-1","50322","창생동물병원","20140401133635","I","2018-08-31 23:59:59.0","","335110.742226133","227877.793481381","동물병원","","000","",
"25","동물병원","02_03_01_P","5410000","541000001019640001","19641102","","03","폐업","0002","폐업","20170712","","","","","0","","경상남도 창녕군 이방면 거남리 397-1번지","경상남도 창녕군 이방면 이방로 976","50300","이방가축병원&lt;산업동물출장진료전문병원&gt;","20170712170139","I","2018-08-31 23:59:59.0","","325178.43099869","234541.641901684","동물병원","","000","",
"26","동물병원","02_03_01_P","5410000","541000001019670001","19671207","","03","폐업","0002","폐업","20070903","","","","055-526-2140","0","","경상남도 창녕군 남지읍 남지리 612-15번지 3통1반","경상남도 창녕군 남지읍 선창길 10-1","50361","우리가축병원","20140401132915","I","2018-08-31 23:59:59.0","","334564.885511205","210887.413699652","동물병원","","000","",
"27","동물병원","02_03_01_P","5420000","542000001020030003","19971229","","03","폐업","0002","폐업","20120626","","","","674-7194","58.63","","경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호","","","백호종합동물병원","20150724091807","I","2018-08-31 23:59:59.0","","320739.874115938","165048.408968973","동물병원","","000","",
"28","동물병원","02_03_01_P","5420000","542000001020130001","20130823","","03","폐업","0002","폐업","20191011","","","","673-7194","0","","경상남도 고성군 고성읍 서외리 1-6번지","경상남도 고성군 고성읍 중앙로15번길 62","52942","경남수의 동물병원","20191011201507","U","2019-10-13 02:40:00.0","","320739.874115938","165048.408968973","동물병원","","000","",
"29","동물병원","02_03_01_P","5420000","542000001020030004","20000701","","03","폐업","0002","폐업","20031209","","","","674-6680","0","","경상남도 고성군 고성읍 동외리 287-12번지","경상남도 고성군 고성읍 동외로 163-14","52942","고성동물병원","20150724091159","I","2018-08-31 23:59:59.0","","320950.108464992","164915.518836177","동물병원","","000","",
"30","동물병원","02_03_01_P","5420000","542000001020030005","20000706","","03","폐업","0002","폐업","20041227","","","","674-8061","0","","경상남도 고성군 고성읍 송학리 125-3번지","","","동양가축약품병원","20041227110945","I","2018-08-31 23:59:59.0","","322053.011979478","165549.490567038","동물병원","","000","",
"31","동물병원","02_03_01_P","5460000","546000001020030004","20030315","","03","폐업","0002","폐업","20210409","","","","","25","","경상남도 함양군 수동면 화산리 1251-2","경상남도 함양군 수동면 수동길 17","","중앙동물병원","20210409181200","U","2021-04-11 02:40:00.0","","271296.115507291","224987.954885297","동물병원","","000","",
"32","동물병원","02_03_01_P","5460000","546000001020030005","20030315","","03","폐업","0002","폐업","20200331","","","","","42","","경상남도 함양군 안의면 금천리 121-3번지","경상남도 함양군 안의면 종로길 5-1","","고려동물병원","20200331131852","U","2020-04-02 02:40:00.0","","273542.70161027","236786.992031543","동물병원","","000","",
"33","동물병원","02_03_01_P","4610000","461000001019890001","19890705","","03","폐업","0002","폐업","20061201","","","","","0","","충청남도 예산군 예산읍 주교리 225-9번지","","","한일 동물병원","20070104155551","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"34","동물병원","02_03_01_P","4610000","461000001019940001","19940120","","03","폐업","0002","폐업","20090413","","","","","0","","충청남도 예산군 예산읍 예산리 581-2번지","","","협동 동물병원","20090414101112","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"35","동물병원","02_03_01_P","4610000","461000001020010001","20010716","","03","폐업","0002","폐업","20031013","","","","338-1928","0","","충청남도 예산군 고덕면 대천리 770-13번지","","","예당 동물병원","20031013135104","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"36","동물병원","02_03_01_P","4610000","461000001020030001","20031013","","03","폐업","0002","폐업","20080107","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13번지","","","예당동물병원","20080107134155","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"37","동물병원","02_03_01_P","4610000","461000001020080001","20080109","","03","폐업","0002","폐업","20080219","","","","","0","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","20080219100042","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"38","동물병원","02_03_01_P","4610000","461000001020080002","20080221","","03","폐업","0002","폐업","20081008","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","20081008102036","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"39","동물병원","02_03_01_P","4610000","461000001020080003","20081009","","03","폐업","0002","폐업","20120829","","","","041-338-2928","55.8","","충청남도 예산군 고덕면 대천리 770-13  번지","","","예당가축병원","20120829143118","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"40","동물병원","02_03_01_P","4610000","461000001020090001","20090219","","03","폐업","0002","폐업","20110920","","","","","0","","충청남도 예산군 예산읍 주교리 225-9   번지","","","한일동물병원","20110920093559","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"41","동물병원","02_03_01_P","4610000","461000001020100001","20100309","","03","폐업","0002","폐업","20100324","","","","","157.68","","충청남도 예산군 예산읍 주교리 279-5번지","","","대성인터내셔널동물병원","20100324143844","I","2018-08-31 23:59:59.0","","184682.820487","353485.03468","동물병원","","000","",
"42","동물병원","02_03_01_P","4490000","449000001019990001","19991022","","03","폐업","0002","폐업","20050804","","","","","0","","충청남도 천안시 동남구 쌍용동 1951번지","","","맑은","20050804132736","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"43","동물병원","02_03_01_P","4490000","449000001020000001","20000306","","03","폐업","0002","폐업","20051227","","","","555-7008","0","","충청남도 천안시 동남구 병천면 병천리 209-2번지","","","아우내","20051227152625","I","2018-08-31 23:59:59.0","","226599.462776","362153.547664","동물병원","","000","0",
"44","동물병원","02_03_01_P","4490000","449000001020000003","20001116","","03","폐업","0002","폐업","20090924","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 449-742 번지","","","용","20090924092927","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"45","동물병원","02_03_01_P","4490000","449000001020010001","20010523","","03","폐업","0002","폐업","20050818","","","","","0","","충청남도 천안시 동남구 쌍용동 198-1번지","","","늘푸른동물병원(신방점)","20050818102104","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"46","동물병원","02_03_01_P","4490000","449000001020020002","19940819","","03","폐업","0002","폐업","20210506","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 432-4","충청남도 천안시 서북구 성환읍 성환중앙로 18","31016","한샘동물병원","20210506161537","U","2021-05-08 02:40:00.0","","211464.12385","379337.521274","동물병원","","000","0",
"47","동물병원","02_03_01_P","4490000","449000001020020003","20020411","","03","폐업","0002","폐업","20060113","","","","","0","","충청남도 천안시 동남구 쌍용동 2030번지","","","가람","20060113160734","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"48","동물병원","02_03_01_P","4490000","449000001020020004","20020415","","03","폐업","0002","폐업","20040414","","","","","0","","충청남도 천안시 동남구 신부동 85번지 대아@ 상가 102동 105호","충청남도 천안시 동남구 충절로 42, 102동 105호 (신부동,대아@ 상가)","","대아","20040414125633","I","2018-08-31 23:59:59.0","","213981.383043","368225.769588","동물병원","","000","0",
"49","동물병원","02_03_01_P","4490000","449000001020020005","20020515","","03","폐업","0002","폐업","20030530","","","","","0","","충청남도 천안시 동남구 원성동 597-2번지","충청남도 천안시 동남구 원거리9길 4 (원성동)","","신대원","20030604182539","I","2018-08-31 23:59:59.0","","213708.678208","366544.574951","동물병원","","000","0",
"50","동물병원","02_03_01_P","4490000","449000001020020007","20021030","","03","폐업","0002","폐업","20040805","","","","","0","","충청남도 천안시 서북구 성환읍 성환리 449-118 번지","","","성환","20040805095557","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"51","동물병원","02_03_01_P","4490000","449000001020020008","20021205","","03","폐업","0002","폐업","20160630","","","","578-4575","0","","충청남도 천안시 동남구 신방동 784-9번지 홈플러스 1층","충청남도 천안시 동남구 신촌1길 23 (신방동, 홈플러스 1층)","31177","쿨펫 천안신방점","20160630162659","I","2018-08-31 23:59:59.0","","210681.520348","365092.813367","동물병원","","000","0",
"52","동물병원","02_03_01_P","4490000","449000001020030002","20030425","","03","폐업","0002","폐업","20040525","","","","041-579-1072","0","","충청남도 천안시 동남구 쌍용동 695번지","","","쌍용동물병원","20040525112237","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"53","동물병원","02_03_01_P","4490000","449000001020030003","20031210","","03","폐업","0002","폐업","20040830","","","","558-7511","0","","충청남도 천안시 서북구 성정동 1485번지 롯데마트 3층","충청남도 천안시 서북구 성정두정로 1 (성정동,롯데마트 3층)","","아야야 동물병원","20040830174839","I","2018-08-31 23:59:59.0","","212478.66375","369462.286024","동물병원","","000","0",
"54","동물병원","02_03_01_P","4490000","449000001020040002","20040317","","03","폐업","0002","폐업","20040422","","","","554-7860","0","","충청남도 천안시 서북구 부대동 139-11 번지","","","대원동물병원","20040422173044","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"55","동물병원","02_03_01_P","4490000","449000001020040003","20040326","","03","폐업","0002","폐업","20101004","","","","556-0275","0","","충청남도 천안시 서북구 성정동 1123번지 탑존빌딩102호","충청남도 천안시 서북구 서부대로 696 (성정동,탑존빌딩102호)","","도끄메리쫑 동물병원","20101004152607","I","2018-08-31 23:59:59.0","","211846.628379","369757.770616","동물병원","","000","0",
"56","동물병원","02_03_01_P","4490000","449000001020040005","20040625","","03","폐업","0002","폐업","20040826","","","","554-7860","0","","충청남도 천안시 서북구 부대동 139-11 번지","","","대원동물병원","20040826165828","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"57","동물병원","02_03_01_P","4610000","461000001020110003","20111006","","03","폐업","0002","폐업","20191129","","","","","127.7","","충청남도 예산군 예산읍 산성리 304-16번지","충청남도 예산군 예산읍 역전로 121","","닥터차동물병원","20191202195842","U","2019-12-04 02:40:00.0","","184714.453086","354323.63351","동물병원","","000","",
"58","동물병원","02_03_01_P","4610000","461000001020120001","20120830","","03","폐업","0002","폐업","20140514","","","","","55.8","","충청남도 예산군 고덕면 대천리 770-13번지","충청남도 예산군 고덕면 고덕중앙로 68","","예당가축병원","20140515132654","I","2018-08-31 23:59:59.0","","173512.162492","360498.393808","동물병원","","000","",
"59","동물병원","02_03_01_P","4610000","461000001020130001","20130319","","03","폐업","0002","폐업","20190831","","","","070-8865-0194","653.31","","충청남도 예산군 예산읍 산성리 682-1번지 샤인하우스 206호","충청남도 예산군 예산읍 역전로125번길 42, 206호 (샤인하우스)","","푸른동물병원","20190830150704","U","2019-09-01 02:40:00.0","","184704.78795","354679.650077","동물병원","","000","",
"60","동물병원","02_03_01_P","4610000","461000001020150001","20150915","","03","폐업","0002","폐업","20161230","","","","041-338-7542","33","","","충청남도 예산군 덕산면 수암산로 160","32406","LG동물병원","20161230160010","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"61","동물병원","02_03_01_P","4610000","461000001020160001","20160125","","03","폐업","0002","폐업","20160725","","","","041-338-6555","35","","충청남도 예산군 고덕면 대천리 778번지","충청남도 예산군 고덕면 대천3길 30","32403","한울산업동물병원","20160725165534","I","2018-08-31 23:59:59.0","","173694.332322","360381.49647","동물병원","","000","",
"62","동물병원","02_03_01_P","4610000","461000001020160003","20160726","","03","폐업","0002","폐업","20190630","","","","","35","","충청남도 예산군 고덕면 대천리 778번지","충청남도 예산군 고덕면 대천3길 30","32403","한울산업동물병원","20190701143544","U","2019-07-03 02:40:00.0","","173694.332322","360381.49647","동물병원","","000","",
"63","동물병원","02_03_01_P","4490000","565000001020130002","20130503","","03","폐업","0002","폐업","20160623","","","","041-564-0075","99.08","","충청남도 천안시 동남구 신부동 388-2번지 천광빌딩 나동 101호","충청남도 천안시 동남구 대흥로 333, 나동 101호 (신부동, 천광빌딩)","31121","열린동물병원","20160623173032","I","2018-08-31 23:59:59.0","","213407.595272","368466.874001","동물병원","","000","0",
"64","동물병원","02_03_01_P","4490000","565000001020150002","20150717","","03","폐업","0002","폐업","20200615","","","","","35.51","","충청남도 천안시 동남구 쌍용동 555-2번지 쌍용신성아파트","충청남도 천안시 동남구 순천향1길 16, 2층 203호 (쌍용동, 쌍용신성아파트)","31151","건국동물병원(산업동물에 대한 출장진료를 전문으로 함)","20200615190148","U","2020-06-17 02:40:00.0","","211780.841472","366648.708912","동물병원","","000","0",
"65","동물병원","02_03_01_P","4490000","565000001020150003","20150807","","03","폐업","0002","폐업","20160111","","","","557-8275","183.6","","충청남도 천안시 동남구 신부동 88-3번지","충청남도 천안시 동남구 충절로 35 (신부동)","31125","88동물의료원","20160111171652","I","2018-08-31 23:59:59.0","","214080.030181","368281.359676","동물병원","","000","0",
"66","동물병원","02_03_01_P","4490000","565000001020160001","20160114","","03","폐업","0002","폐업","20180323","","","","041-557-8275","362.4","","충청남도 천안시 동남구 신부동 88-3번지","충청남도 천안시 동남구 충절로 35-0 (신부동)","31125","88동물의료원천안아산동물병원","20180325135520","I","2018-08-31 23:59:59.0","","214080.030181","368281.359676","동물병원","","000","0",
"67","동물병원","02_03_01_P","4490000","449000001019760001","19760213","","03","폐업","0002","폐업","20060124","","","","581-2842","0","","충청남도 천안시 서북구 성환읍 성환리 449-68번지","","","송","20060124161010","I","2018-08-31 23:59:59.0","","211401.351381","379384.088576","동물병원","","000","0",
"68","동물병원","02_03_01_P","4490000","449000001019800001","19800725","","03","폐업","0002","폐업","20060303","","","","","0","","충청남도 천안시 동남구 영성동 118번지","","","천안","20060303163056","I","2018-08-31 23:59:59.0","","","","동물병원","","000","0",
"69","동물병원","02_03_01_P","4490000","449000001019830001","19830514","","03","폐업","0002","폐업","20060418","","","","","0","","충청남도 천안시 동남구 봉명동 368번지","충청남도 천안시 동남구 쌍용대로 187 (봉명동)","","서부종합","20060418103632","I","2018-08-31 23:59:59.0","","211900.047189","368096.638032","동물병원","","000","0",
"70","동물병원","02_03_01_P","4490000","565000001020160004","20160920","","03","폐업","0002","폐업","","","","","","40","","충청남도 천안시 동남구 목천읍 운전리 368-17","충청남도 천안시 동남구 목천읍 남부대로 1012","31234","S&amp;P Bio","20220429100206","U","2022-05-01 02:40:00.0","","220049.183157","363360.195987","동물병원","","000","0",
"71","동물병원","02_03_01_P","4490000","566000001020090001","20090402","","03","폐업","0002","폐업","20110906","","","","558-1475","46.9","","충청남도 천안시 서북구 성성동 366번지 108호","충청남도 천안시 서북구 공단로 95, 108호 (성성동)","","마일스톤 피그 클리닉","20110907105549","I","2018-08-31 23:59:59.0","","210848.667729","371462.014076","동물병원","","000","0",
"72","동물병원","02_03_01_P","4490000","566000001020090002","20090814","","03","폐업","0002","폐업","20100412","","","","585-8164","31.54","","충청남도 천안시 서북구 성환읍 매주리 322번지","","","천성벳동물병원","20100412103147","I","2018-08-31 23:59:59.0","","211334.713389","378959.20477","동물병원","","000","0",
"73","동물병원","02_03_01_P","4490000","449000001019920002","19920521","","03","폐업","0002","폐업","20080108","","","","573-7575","0","","충청남도 천안시 동남구 봉명동 39-21번지","","","정동물병원","20080109130018","I","2018-08-31 23:59:59.0","","212390.584736","367031.966194","동물병원","","000","0",
"74","동물병원","02_03_01_P","4490000","449000001019950001","19950208","","03","폐업","0002","폐업","20170929","","","","564-6242","0","","충청남도 천안시 동남구 병천면 병천리 191-1번지","충청남도 천안시 동남구 병천면 충절로 1757-6","31254","전종한동물병원","20170929132938","I","2018-08-31 23:59:59.0","","226729.775231","362407.13929","동물병원","","000","0",
"75","동물병원","02_03_01_P","4490000","449000001019950002","19951121","","03","폐업","0002","폐업","20031210","","","","553-9439","0","","충청남도 천안시 동남구 원성동 518-13번지","충청남도 천안시 동남구 버들로 146 (원성동)","","신천안","20031210164437","I","2018-08-31 23:59:59.0","","214431.098125","367207.240673","동물병원","","000","0",
"76","동물병원","02_03_01_P","4490000","566000001020120001","20120403","","03","폐업","0002","폐업","20130429","","","","541-7552","0","","충청남도 천안시 서북구 불당동 1289번지 펜타포트 지하1층 이마트","충청남도 천안시 서북구 공원로 196, 지하1층 (불당동, 펜타포트 이마트)","31168","쿨펫동물병원","20130429090850","I","2018-08-31 23:59:59.0","","208976.476452","366326.634371","동물병원","","000","0",
"77","동물병원","02_03_01_P","4400000","440000001020050001","20050930","","03","폐업","0002","폐업","20070226","","","","","0","","충청북도 제천시 영천동 500번지","","","PETRIA 애견종합동물병원","20070226110631","I","2018-08-31 23:59:59.0","","307109.288872","403895.754185","동물병원","","000","",
"78","동물병원","02_03_01_P","4400000","440000001020090001","20090930","","03","폐업","0002","폐업","20190717","","","","043-652-0075","0","","충청북도 제천시 중앙로2가 69-9번지","충청북도 제천시 의림대로 182-1 (중앙로2가)","27166","제천종합동물병원","20190717160658","U","2019-07-19 02:40:00.0","","307762.403482","405329.11369","동물병원","","000","",
"79","동물병원","02_03_01_P","4400000","440000001020090002","20091223","","03","폐업","0002","폐업","20110302","","","","043-653-7533","0","","충청북도 제천시 강제동 684번지 이마트 3층","","","펫프렌즈동물병원 제천","20110311180716","I","2018-08-31 23:59:59.0","","308612.151033","403102.551515","동물병원","","L00","",
"80","동물병원","02_03_01_P","4400000","440000001020100001","20101102","","03","폐업","0002","폐업","20120102","","","","","0","","충청북도 제천시 하소동 72-5   번지 (롯데마트 2층)","","","쿨펫동물병원","20120102125929","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"81","동물병원","02_03_01_P","4470000","447000001019920001","19921009","","03","폐업","0002","폐업","20121002","","","","","50.96","","충청북도 음성군 금왕읍 무극리 244-3번지","충청북도 음성군 금왕읍 무극로 290","","무극동물병원","20121002170357","I","2018-08-31 23:59:59.0","","252785.71507","388083.302324","동물병원","","000","",
"82","동물병원","02_03_01_P","4470000","447000001019950001","19950516","","03","폐업","0002","폐업","20090921","","","","043-877-5770","265","","충청북도 음성군 대소면 오류리 1-12번지","충청북도 음성군 대소면 새미실길45번길 141","","(주)팜스코 축산기술센타","20090921153134","I","2018-08-31 23:59:59.0","","243130.524566","387541.866498","동물병원","","L00","",
"83","동물병원","02_03_01_P","4470000","447000001020030001","20030819","","03","폐업","0002","폐업","20080924","","","","883-1040","40","","충청북도 음성군 금왕읍 무극리 249-5번지","충청북도 음성군 금왕읍 무극로 274","","본 동물병원","20080924110026","I","2018-08-31 23:59:59.0","","252642.259298","388032.894416","동물병원","","000","",
"84","동물병원","02_03_01_P","4470000","447000001020070001","20070213","","03","폐업","0002","폐업","20090420","","","","","183.87","","충청북도 음성군 대소면 오류리 605-18번지 음성IC 타운 106호","충청북도 음성군 대소면 대금로 205, 106호 (음성IC 타운)","","청림한별동물병원","20090420115059","I","2018-08-31 23:59:59.0","","241415.852642","386598.315121","동물병원","","000","",
"85","동물병원","02_03_01_P","4470000","447000001020090001","20090422","","03","폐업","0002","폐업","20110601","","","","","0","","충청북도 음성군 금왕읍 백야리 산 13번지","","","음성군 야생동물구조관리사업소","20110601155752","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"86","동물병원","02_03_01_P","4470000","447000001020160003","20160408","","03","폐업","0002","폐업","20191212","","","","043-883-7633","297.5","","충청북도 음성군 감곡면 원당리 191-3번지","충청북도 음성군 감곡면 음성로 2164, 한길동물병원","27613","한길동물병원 (출장진료전문병원)","20191212152009","U","2019-12-14 02:40:00.0","","254716.621338","397274.139928","동물병원","","000","",
"87","동물병원","02_03_01_P","4470000","447000001020130001","20130307","","03","폐업","0002","폐업","20160217","","","","0438828975","330","","충청북도 음성군 금왕읍 무극리 356-12번지","충청북도 음성군 금왕읍 음성로 1203","27628","테오종합동물병원","20160217143432","I","2018-08-31 23:59:59.0","","253182.969793","388455.600234","동물병원","","000","",
